CellLine,IRS1,ABL2,NCK2,PIK3R1,PIK3R3,VAV2,PLCG2,SRC,STAT1,YES1,RASA1,PIK3R2,SHC1,SYK,BLK,CRKL,ITK,ZAP70
A549,8.162553238244429e-05,0.013225311911222146,0.0042228960838163404,0.00970838434947333,-6.560948077084402e-26,0.007813845082781904,0.0006589380733391627,0.4990009655917624,0.00010280817055806887,0.018182239698663068,0.018271354805624578,0.00161249871829237,0.04027898878928427,0.0010310607698075624,0.0,0.11278735194476706,0.0,0.0
BREAST_MCF7,2.071711143403781e-27,0.0,0.0,0.013779075922059418,0.0,0.04701312310972316,0.03933189973855503,0.0015314402144409184,0.09667563841647533,0.7002092090513167,0.21568460660195812,0.010993713352694124,0.008544895210236327,0.006968888735914922,0.0,0.06416087370422688,0.0,0.0001209989510904119
BREAST_MCF7ADR,-7.243883712363267e-25,0.0,0.0,0.008046211980945307,1.2149988934760296e-25,0.02439109606571911,0.0,-3.5617646620391624e-25,0.21645548968825115,0.4602076969331533,0.03338852829679946,0.0,0.006438524226692776,0.0,0.0,0.0687522143436867,0.0,0.1880701487846725
C2C12,0.0038745394326158006,0.35540047938075625,0.07055673473639433,0.03093637755778528,0.00021990889570573937,0.0024385843693862258,0.0,0.2504626101008102,0.14837160880472652,0.07997681798433491,0.8336532892511817,0.0027188907186975015,0.11862111395955437,0.0,0.0,0.06544897805802836,0.0,0.0
CNS_SNB19,0.0,1.0516195979209995,0.0,3.638089774929777e-25,2.168830287637407e-26,0.0009547180516880486,0.0,1.5220200440324105,0.008448276709810939,0.07792753690040513,0.011182492149702902,0.0,0.0,0.0,0.0,0.018689827304557732,0.0,0.0
CNS_U251,2.260410153036462e-06,1.211598270901418,0.0,0.005496346523172182,0.0,0.0005143415260284943,0.0002601801248532748,1.6345304048933154,0.0018552456781755569,2.9225545486043216e-05,0.012910864072700878,0.00960519835864956,0.0073390190432545575,0.0,0.0,0.011599364990999325,0.0,0.0
COLON_COLO205,6.837696288690074e-05,0.0,0.0,0.05322310607644835,0.0,0.041891296864469955,0.003912330671170831,0.6044869178521944,0.23114564012565833,0.41554068656461846,0.09970080688122891,0.35078504296360563,0.05860513337396354,0.0007875317479588116,0.0,0.2935358341252532,0.0,0.0
COLON_HCC2998,0.0,1.0759604383166779,0.0022420491601924377,0.0,0.0,0.004212816841523971,8.188794556185009e-25,1.522245007255233,0.05589898164389601,0.07338559936488859,0.11071389178035113,0.009796088841397705,-1.613982539135719e-25,0.0,0.0,0.03336681267701553,0.0,0.0
COLON_HT29,5.937396509609723e-26,0.0,0.0,0.013947798115982443,-1.9977612784692773e-24,0.003087659448335584,0.0,-5.554439300715058e-25,0.33538102496684674,0.8655576735982444,0.40356059140465905,1.735831514440243e-24,0.0,0.02524767384551654,0.0,0.16513188130168804,0.0,0.19810464642045916
GAMG,0.0005682215646183659,0.1450701819716408,0.11760997518413234,0.029087927747089806,0.002356299337729237,0.11290559846171505,0.0,0.8874737506252531,0.0,0.4495556200544227,0.7236540714686023,0.0377185219386023,0.30927351942498316,0.008052846788446996,0.0,1.200552835523295,0.0,0.0
