CellLine,CRKL,SRC,SHC1,RASA1,NCK2,YES1,PLCG2,PIK3R2,PIK3R1,VAV2,SYK,ABL2,IRS1,BLK,STAT1,ZAP70,ITK,PIK3R3
NSCLC_A549_G,0.127,0.563,0.045,0.021,0.005,0.021,0.001,0.002,0.011,0.009,0.001,0.015,0,0,0,0,0,0
BREAST_MCF7ADR,0.077,0,0.007,0.038,0,0.519,0,0,0.009,0.028,0,0,0,0,0.245,0.212,0,0
BREAST_MCF7_N,0.072,0.002,0.01,0.243,0,0.791,0.044,0.012,0.016,0.053,0.008,0,0,0,0.109,0,0,0
MOUSE_C2C12,0.074,0.283,0.134,0.943,0.08,0.09,0,0.003,0.035,0.003,0,0.398,0.004,0,0.168,0,0,0
CNS_SNB19,0.021,1.726,0,0.013,0,0.088,0,0,0,0.001,0,1.19,0,0,0.01,0,0,0
CNS_U251,0.013,1.853,0.008,0.015,0,0,0,0.011,0.006,0.001,0,1.372,0,0,0.002,0,0,0
COLON_COLO205,0.331,0.685,0.066,0.113,0,0.471,0.004,0.397,0.06,0.047,0.001,0,0,0,0.262,0,0,0
COLON_HCC2998,0.038,1.726,0,0.125,0.003,0.083,0,0.011,0,0.005,0,1.219,0,0,0.063,0,0,0
COLON_HT29,0.186,0,0,0.456,0,0.98,0,0,0.016,0.003,0.029,0,0,0,0.38,0.223,0,0
CNS_GAMG,1.361,1.006,0.349,0.82,0.133,0.51,0,0.043,0.033,0.128,0.009,0.164,0.001,0,0,0,0,0.003
RENAL_HEK293,1.375,0.657,0.221,0.258,0.079,0.224,0.071,0.054,0.063,0.041,0.045,0.05,0,0,0,0.002,0,0.032
CERV_HELA_KYOTO,0.291,0,0.175,0.076,0,0.098,0.012,0.036,0,0.115,0,0.066,0,0,0,0,0,0.009
CERV_HELA_S3_K,0.197,0.002,0.217,0.067,0.002,0.112,0.006,0.027,0.001,0.12,0,0.17,0,0,0.165,0,0,0.006
CERV_HELA_S3_G,0.651,0.344,0.303,0.087,0,0.199,0.006,0.013,0,0.072,0,0,0,0,0,0,0,0.016
LIVER_HEPG2,1.543,1.005,0.009,0.169,0.001,0.165,0.002,0,0.127,0.19,0,0.005,0,0,0,0.001,0,0
LEUK_JURKAT,1.3,0.849,0.084,0.207,0.158,0.023,0.206,0.004,0.115,0.063,0,0.01,0,0,0,0.817,0.172,0.008
LEUK_K562,1.855,0.189,0.096,0.655,0,0.363,0.011,0.101,0.071,0.001,0.048,0.006,0,0,0,0,0,0
LEUK_CCRFCEM,0.047,0.016,0.082,0.073,0.022,0.001,0,0.12,0.003,0.017,0,0,0,0,0.333,0,0,0
LEUK_SR,0.079,0,0,0,0.12,0,0,0,0.029,0.05,0,0,0,0,0.478,0.057,0,0
PROSTATE_LNCAP,1.258,0.884,0.435,0.398,0.066,0.516,0.006,0.117,0.335,0.082,0,0,0,0,0,0,0,0
BREAST_MCF7_G,0.177,0.112,0.107,0.106,0.009,0.045,0.023,0.021,0.006,0.093,0.012,0,0.002,0,0,0,0,0
MELAN_M14,0.043,0.001,0.031,0.121,0.014,0.001,0.003,0.025,0.014,0.009,0,0,0,0,0.77,0,0,0
MELAN_MALME3M,0.07,0,0,0,0.029,0.408,0,0,0.02,0,0,0,0,0,0.322,0,0,0
MELAN_SKMEL28,0.06,0.002,0.011,0.031,0.018,0.329,0,0.006,0.013,0,0,0,0,0,0.634,0,0,0
MELAN_SKMEL5,0.124,0,0,0.046,0,0.479,0,0,0.188,0,0,0,0,0,0.341,0,0,0
MELAN_UACC257,0.035,0,0,0.022,0.089,0.387,0,0.006,0.036,0,0,0,0,0,0.308,0,0,0
MELAN_UACC62,0.07,0,0,0.106,0,0.742,0,0,0.107,0,0,0,0,0,0.288,0,0,0
NSCLC_A549_N,0,0,0,0,0,0.897,0,0,0,0,0,0,0,0,0.49,0,0,0
NSCLC_EKVX,0.159,0,0,0.076,0,0.438,0,0,0.012,0.028,0,0,0,0,0.25,0,0,0
NSCLC_H226,0,0,0,0.113,0,0.457,0,0,0,0.008,0,0,0,0,0.576,0.046,0,0
NSCLC_H23,0.023,1.638,0,0.032,0,0.095,0,0,0,0,0,1.285,0,0,0.004,0,0,0
NSCLC_H322M,0.029,0,0,0,0,0.258,0,0,0.065,0,0,0,0,0,0.153,0,0,0
NSCLC_H460,0.031,0.013,0.003,0.057,0.003,0.002,0.073,0.016,0.031,0.046,0,0,0,0,0.175,0,0,0.011
