PROTEIN	A549	GAMG	HEK293	HeLa_S3_G	HepG2	Jurkat	K562	LnCap	MCF7	RKO	U2OS	HeLa_S3	HeLa_Kyo	C2C12
ABL2_total	872	54710	9914	0	938	1898	3921	0	0	0	4951	11988	5138	39913
BLK_total	0	0	0	0	0	680	0	0	0	0	81	242	0	0
CRKL_total	115483	7313181	5053830	819593	6217777	4690434	31498003	3270555	165140	3661197	28854422	202806	301971	85703
IGF1R_total	14810	14810	14810	14810	14810	14810	14810	14810	14810	14810	14810	14810	25747	14810
IRS1_total	959	14393	73	0	268	0	0	0	16005	0	204533	1329	0	46770
ITK_total	0	0	0	0	0	704737	0	0	0	0	0	0	0	0
NCK2_total	1689	326730	116817	0	1201	233556	0	67485	3099	0	1989834	964	0	52087
PIK3R1_total	5845	91091	54659	0	91492	112022	97857	791051	3577	0	28674	448	0	58633
PIK3R2_total	1031	125590	49797	7637	0	4015	148568	292942	13184	10982	42456	16715	22544	5478
PIK3R3_total	0	5663	17852	5861	0	5045	0	0	0	0	0	2060	2935	203
PLCG2_total	335	0	62681	3206	1188	198189	17576	9593	11188	13241	80690	2923	5957	0
RASA1_total	7550	1714993	154586	34635	93323	141139	520240	642896	40707	1599879	924879	26455	29317	926819
SHC1_total	24230	396076	149879	189114	6337	129696	53987	474127	52365	1482122	1891362	111966	89368	73269
SRC_total	328725	5051064	605478	225877	1358641	886478	134750	2272320	54688	199390	6225891	1220	0	209863
STAT1_total	132	0	0	0	0	0	0	0	0	0	0	201741	141	349761
SYK_total	1790	136488	115069	0	0	0	105006	0	15722	0	98500	325	0	0
VAV2_total	7313	1024816	55706	66300	412690	107137	1043	309078	68000	756899	95584	106531	82522	4182
YES1_total	12598	2686539	217173	137752	234410	25594	270809	1395637	23226	149159	1147801	63595	50498	69947
ZAP70_total	0	0	2106	0	386	4196035	0	0	0	0	0	0	0	0
